"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Jan 16 16:05:24 GMT 2023","Mon Jan 16 16:05:24 GMT 2023","1","","Validate scenarios login","","","","login password error",""
"passed","Mon Jan 16 16:05:03 GMT 2023","Mon Jan 16 16:05:22 GMT 2023","19420","","Validate scenarios login","","","","login success",""
"skipped","Mon Jan 16 16:05:24 GMT 2023","Mon Jan 16 16:05:24 GMT 2023","3","","Validate scenarios login","","","","login email error",""
"passed","Mon Jan 16 16:04:14 GMT 2023","Mon Jan 16 16:04:41 GMT 2023","27235","","Products scenarios","","","","remove product to cart",""
"passed","Mon Jan 16 16:03:32 GMT 2023","Mon Jan 16 16:04:11 GMT 2023","38647","","Products scenarios","","","","adding product to cart",""
