"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 16 14:53:28 GMT 2023","Mon Jan 16 14:54:05 GMT 2023","37148","","Products scenarios","","","","adding product to cart",""
"skipped","Mon Jan 16 14:55:25 GMT 2023","Mon Jan 16 14:55:25 GMT 2023","3","","Validate scenarios login","","","","login email error",""
"passed","Mon Jan 16 14:54:08 GMT 2023","Mon Jan 16 14:54:36 GMT 2023","27662","","Products scenarios","","","","remove product to cart",""
"passed","Mon Jan 16 14:54:58 GMT 2023","Mon Jan 16 14:55:22 GMT 2023","24076","","Validate scenarios login","","","","login success",""
"skipped","Mon Jan 16 14:55:25 GMT 2023","Mon Jan 16 14:55:25 GMT 2023","1","","Validate scenarios login","","","","login password error",""
