"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon May 01 02:37:19 GMT 2023","Mon May 01 02:37:44 GMT 2023","24553","","Products scenarios","","","","adding product to cart",""
"passed","Mon May 01 02:38:28 GMT 2023","Mon May 01 02:38:48 GMT 2023","20175","","Validate scenarios login","","","","login success",""
"failed","Mon May 01 02:37:49 GMT 2023","Mon May 01 02:38:08 GMT 2023","19184","","Products scenarios","","","","remove product to cart",""
"passed","Mon May 01 02:39:05 GMT 2023","Mon May 01 02:39:16 GMT 2023","10821","","Validate scenarios login","","","","login password error",""
"passed","Mon May 01 02:38:50 GMT 2023","Mon May 01 02:39:00 GMT 2023","9733","","Validate scenarios login","","","","login email error",""
