"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 16 17:58:31 GMT 2023","Mon Jan 16 17:58:40 GMT 2023","9470","","Validate scenarios login","","","","login email error",""
"passed","Mon Jan 16 17:57:03 GMT 2023","Mon Jan 16 17:57:30 GMT 2023","26626","","Products scenarios","","","","adding product to cart",""
"passed","Mon Jan 16 17:58:11 GMT 2023","Mon Jan 16 17:58:29 GMT 2023","17623","","Validate scenarios login","","","","login success",""
"passed","Mon Jan 16 17:57:33 GMT 2023","Mon Jan 16 17:57:55 GMT 2023","22353","","Products scenarios","","","","remove product to cart",""
"passed","Mon Jan 16 17:58:45 GMT 2023","Mon Jan 16 17:58:55 GMT 2023","10156","","Validate scenarios login","","","","login password error",""
