"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 16 15:58:25 GMT 2023","Mon Jan 16 15:58:57 GMT 2023","32007","","Products scenarios","","","","adding product to cart",""
"passed","Mon Jan 16 15:59:00 GMT 2023","Mon Jan 16 15:59:22 GMT 2023","22226","","Products scenarios","","","","remove product to cart",""
"skipped","Mon Jan 16 16:00:00 GMT 2023","Mon Jan 16 16:00:00 GMT 2023","2","","Validate scenarios login","","","","login email error",""
"skipped","Mon Jan 16 16:00:00 GMT 2023","Mon Jan 16 16:00:00 GMT 2023","1","","Validate scenarios login","","","","login password error",""
"passed","Mon Jan 16 15:59:39 GMT 2023","Mon Jan 16 15:59:58 GMT 2023","18393","","Validate scenarios login","","","","login success",""
